qr_code, mid_point_x_cm, mid_point_y_cm, position_in_wall
19,0,11,1
20,0,22.5,1
21,0,35,1
25,0,47,1
26,0,59.5,1
27,0,71,1
31,0,84,1
32,0,96,1
33,0,108,1
13,13,121.5,2
14,25,121.5,2
15,37,121.5,2
1,50.5,121.5,2
2,62.5,121.5,2
3,74.5,121.5,2
9,86.5,121.5,2
8,98,121.5,2
7,111,121.5,2
34,13.5,0,4
35,26,0,4
36,38,0,4
28,50,0,4
29,61.5,0,4
30,73.5,0,4
4,85.5,0,4
5,97.6,0,4
6,109.8,0,4
10,121.5,12,3
11,121.5,24.2,3
12,121.5,36,3
16,121.5,49,3
17,121.5,61,3
18,121.5,72,3
22,121.5,85.5,3
23,121.5,98,3
24,121.5,109.5,3
